Author,Name,Format,Price,Rating,Url
Михаил Булгаков,Морфий и другие рассказы,аудиокнига,159.0,61.0,https://www.litres.ru/audiobook/mihail-bulgakov/morfiy-i-drugie-rasskazy-178526/
Анатолий Абрашкин; Галина Макарова,Булгаков и дьявол. Опасные тайны «Мастера и Маргариты»,аудиокнига,389.0,2.0,https://www.litres.ru/audiobook/anatoliy-abrashkin/bulgakov-i-dyavol-opasnye-tayny-mastera-i-margarity-69392836/
Анатолий Абрашкин; Галина Макарова,Булгаков и дьявол. Опасные тайны «Мастера и Маргариты»,текст,389.0,3.8,https://www.litres.ru/book/anatoliy-abrashkin/bulgakov-i-dyavol-opasnye-tayny-mastera-i-margarity-67259420/
Михаил Булгаков,Мастер и Маргарита,аудиокнига,344.0,368.0,https://www.litres.ru/audiobook/mihail-bulgakov/master-i-margarita-282202/
АНОНИМУС,Тайный дневник Михаила Булгакова,аудиокнига,399.0,165.0,https://www.litres.ru/audiobook/anonimys/taynyy-dnevnik-mihaila-bulgakova-67432011/
Михаил Афанасьевич Булгаков,Белая гвардия,аудиокнига,179.0,14.0,https://www.litres.ru/audiobook/mihail-afanasevich-bulgakov/belaya-gvardiya-66596774/
Михаил Булгаков,Мастер и Маргарита,текст,129.0,4.6,https://www.litres.ru/book/mihail-bulgakov/master-i-margarita-129095/
АНОНИМУС,Тайный дневник Михаила Булгакова,текст,279.0,3.8,https://www.litres.ru/book/anonimys/taynyy-dnevnik-mihaila-bulgakova-67429485/
Михаил Булгаков,Мастер и Маргарита (Аудиоспектакль),аудиокнига,339.0,82.0,https://www.litres.ru/audiobook/mihail-bulgakov/master-i-margarita-audiospektakl-67552434/
,Булгаков за 30 минут,текст,99.0,0.0,https://www.litres.ru/book/ilya-melnikov/bulgakov-za-30-minut-23893424/
Михаил Булгаков,Белая гвардия,текст,129.0,4.4,https://www.litres.ru/book/mihail-bulgakov/belaya-gvardiya-129100/
Михаил Булгаков,Собачье сердце,аудиокнига,229.0,3.0,https://www.litres.ru/audiobook/mihail-bulgakov/sobache-serdce-329012/
Михаил Булгаков,Собачье сердце,аудиокнига,344.0,74.0,https://www.litres.ru/audiobook/mihail-bulgakov/sobache-serdce-63115648/
Михаил Булгаков,Собачье сердце,текст,,4.4,https://www.litres.ru/book/mihail-bulgakov/sobache-serdce-133810/
Борис Соколов,Булгаков. Мистический Мастер,текст,169.0,4.0,https://www.litres.ru/book/boris-vadimovich-sokolov/bulgakov-misticheskiy-master-16912899/
Михаил Булгаков,Мастер и Маргарита,аудиокнига,189.0,206.0,https://www.litres.ru/audiobook/mihail-bulgakov/master-i-margarita-620195/
Михаил Булгаков,Весь Булгаков,текст,199.0,5.0,https://www.litres.ru/book/mihail-bulgakov/ves-bulgakov-24622943/
Михаил Булгаков,Белая гвардия,аудиокнига,253.0,42.0,https://www.litres.ru/audiobook/mihail-bulgakov/belaya-gvardiya-4997315/
Михаил Булгаков,Мастер и Маргарита (Иллюстрированное издание),текст,119.0,4.6,https://www.litres.ru/book/mihail-bulgakov/master-i-margarita-illustrirovannoe-izdanie-24434994/
Михаил Булгаков,Записки юного врача (цикл рассказов),аудиокнига,249.0,83.0,https://www.litres.ru/audiobook/mihail-bulgakov/zapiski-unogo-vracha-cikl-rasskazov-4953051/
